,Tournament,from,to,Organizer(s),Tournament director,Chief Arbiter,Deputy Chief Arbiter,Arbiter,Location,FED,Last update ,teams,n,Rd,Rd-Akt,DB-Key,System,Month
318,Травневий дебют - турнір Б (перший юнацький р-д),20210523,20210523,,Гладиш Є.Й.,Матвійчук Б.А.,,,Пустомити,UKR,23.05.2021  15:55 ,0,13,9,9,562000,Schweizer System                                            ,5
319,Чемпіонат Київської області з шахів серед юнаків 2013 р.н. та молодше,20210521,20210521,Управління молоді та спорту Київської обласної державної адміністрації,,Олянич Аня Володимирівна,Козловець Павло Петрович,,Буча,UKR,23.05.2021  15:33 ,0,20,8,8,560866,Schweizer System                                            ,5
320,Чемпіонат Дн-ської області з бліцу серед чоловіків та жінок  ,20210523,20210523,,,"14129388 Timoshenko, Irina (UKR) FIDE",,,Dnipro,UKR,23.05.2021  15:23 ,0,38,9,9,559865,Schweizer System                                            ,5
321,Чемпіонат Дн-ської області з швидких шахів серед чоловіків та жінок ,20210521,20210522,Dnepropetrovsk region chess federation,,"14129388 Timoshenko, Irina (UKR) FIDE",,,Dnipro,UKR,23.05.2021  15:22 ,0,45,9,9,559864,Schweizer System                                            ,5
322,Кубок ПІШАК-2021 Швидкі Шахи до 120-ліття Макса Ейве,20210523,20210523,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,23.05.2021  14:43 ,0,12,10,10,561985,Schweizer System                                            ,5
323,Відкритий чемпіонат Львівської області серед юнаків та дівчат до 8р.,20210521,20210523,"ЛОШФ, ЛОДА",14104490 Фірман Назар,14151804 Ільницький Іван,,,Львів,UKR,23.05.2021  13:39 ,0,30,9,9,561446,Schweizer System                                            ,5
324,Весений кубок А+ 2021,20210522,20210523,"КАН, А+",Коваленко Максим,Коваленко Максим,,Хоменко Павло,"Киев,Гимназия А+ (вул.Березнева, 14)",UKR,23.05.2021  10:56 ,0,20,8,8,561816,Schweizer System                                            ,5
325,Кваліфікаційний турнір з нормою 1-го юнацького (м. Миколаїв),20210520,20210523,Федерація шахів миколаївської області,МС Горощенко Д.В.,Хамзін С.Р.,,Горощенко Д.В.,м. Миколаїв,UKR,23.05.2021  10:46 ,0,21,10,10,561186,Schweizer System                                            ,5
326,"22.05.2021. OPEN-BLITZ ""Chess School - 2021""",20210522,20210522,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,"14105128, Prihodko, Alexander (UKR) FA,IO, ","DreamTown2, Kyiv, Obolon avenue 21",UKR,22.05.2021  19:08 ,0,54,11,11,561320,Schweizer System                                            ,5
327,Кубок І-Ф ОШШК зі Блискавичної Гри в Шахи - Всесвітній День Вишиванки,20210522,20210522,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,22.05.2021  16:44 ,0,10,12,12,561806,Schweizer System                                            ,5
328,Кубок І-Ф ОШШК зі Швидких Шахів - Всесвітній День Вишиванки,20210522,20210522,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,22.05.2021  14:16 ,0,11,10,10,561805,Schweizer System                                            ,5
329,Чемпіонат Києва серед юнаків 2013 р.н. та молодших,20210515,20210519,,,Захарчук І.Р.,,,Киев,UKR,19.05.2021  16:00 ,0,27,9,9,560256,Schweizer System                                            ,5
330,Чемпіонат Дн-ської області серед юнаків 2011-2012р.н.(до 10 років) ,20210514,20210518,Федерація шахів Дніпропетровськох області,,Тимошенко І.В.,Казмирук В.В.,,Дніпро,UKR,19.05.2021  10:22 ,0,34,9,9,561364,Schweizer System                                            ,5
331,Чемпіонат Дн-ської області серед юнаків 2011-2012р.н.(до 10 років) ,20210514,20210518,Федерація шахів Дніпропетровськох області,,Тимошенко І.В.,Казмирук В.В.,,Дніпро,UKR,18.05.2021  12:40 ,0,34,9,9,559929,Schweizer System                                            ,5
332,Чемпіонат Дн-ської області серед юнаків 2013 р.н. та молодше (до 8 років),20210514,20210518,Федерація шахів Дніпропетровської області,,Тимошенко І.В.,,,Дніпро,UKR,18.05.2021  10:15 ,0,11,9,9,559931,Schweizer System                                            ,5
333,"Відкрита першість ""Школи Дружньої До Дитини"" Турнір Б ",20210515,20210515,"""Школи Дружньої До Дитини""",14124556 Корман Роман,Тарас Цитуля,34125035 Красногор Юрій,,Львів,UKR,17.05.2021  21:52 ,0,53,9,9,552342,Schweizer System                                            ,5
334,"Відкрита першість ""Школи Дружньої До Дитини"" Турнір А ",20210515,20210515,"""Школи Дружньої До Дитини""",14124556 Корман Роман,Тарас Цитуля,34125035 Красногор Юрій,,Львів,UKR,17.05.2021  21:15 ,0,25,9,9,552325,Schweizer System                                            ,5
335,Шахова Весна КМДШ. Турнір Б,20210515,20210515,"КМДШ, Бібо Ірина Олександрівна ","Ромашов Антон Володимирович, Бібо Ірина Олександрівна",Ромашов Антон Володимирович,Бібо Ірина Олександрівна,,"м . Львів, вул. Угорська, 12Е.",UKR,17.05.2021  15:05 ,0,56,9,9,560365,Schweizer System                                            ,5
336,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 розряду, (14-16.05.2021),Київ.",20210514,20210516,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/  ,Київ,UKR,16.05.2021  18:56 ,0,19,9,9,560422,Schweizer System                                            ,5
337,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 2 розряду, (14-16.05.2021), Київ.",20210514,20210516,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/  ,Київ,UKR,16.05.2021  18:31 ,0,23,9,9,560421,Schweizer System                                            ,5
338,Кваліфікаційний турнір з нормою 3 розряду (15-16 травня м.Буча),20200206,20210515,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,16.05.2021  17:13 ,0,11,9,9,560848,Schweizer System                                            ,5
339,"Кубок ГО ""ФШмІ-Ф"" Бліц Шахи - День пам'яті жертв політичних репресій",20210516,20210516,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,16.05.2021  17:05 ,0,10,12,12,560992,Schweizer System                                            ,5
340,"Класифікаційний шаховий турнір ""Весняні старти"" серед початківців       м.Стрий",20210516,20210516,"Стрийська районна шахова-шашкова федерація ""Ферзь""",Музичук Олег,Соловйов Олександр,Музичук Наталія,Білецька Галина,Стрий,UKR,16.05.2021  16:46 ,0,22,9,9,561020,Schweizer System                                            ,5
341,"Класифікаційний шаховий турнір ""Весняні старти"" серед IV розрядів        м.Стрий",20210516,20210516,"Шахова-шашкова федерація Стрийщини ""Ферзь""",Музичук Олег,Соловйов Олександр,Музичук Наталія,Білецька Галина,Стрий,UKR,16.05.2021  16:45 ,0,23,9,9,561019,Schweizer System                                            ,5
342,Шахові надії Прикарпаття - 2021 (1 етап) ,20210516,20210516,Івано-Франківський обласний шаховий центр,Н.Палагіцька,Н.Палагіцька,,,Івано-Франківськ,UKR,16.05.2021  15:14 ,0,48,9,9,560225,Schweizer System                                            ,5
343,"""Шахова Школа"" DreamTown2 Турнір серед 1 розряду ""Шлях до Майстерності""",20210514,20210516,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р.","Київ, Пр-т Оболонський, 21, DreamTown2.",UKR,16.05.2021  15:07 ,0,50,7,7,560374,Schweizer System                                            ,5
344,"Кубок ГО ""ФШмІ-Ф"" Швидкі Шахи - День пам'яті жертв політичних репресій",20210516,20210516,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,16.05.2021  14:31 ,0,9,10,10,560991,Schweizer System                                            ,5
345,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 3 розряду, (15-16.05.2021),Київ.",20210515,20210516,ГО Шаховий центр,Олег Коваль  ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/  ,Київ,UKR,16.05.2021  13:15 ,0,25,9,9,560420,Schweizer System                                            ,5
346,"КВАЛІФІКАЦІЙНИЙ ТУРНІР з нормою 1 юнацького розряду (15-16.05.2021),Київ.",20210515,20210516,ГО Шаховий центр,Олег Коваль ,Олег Коваль /14140870/ ,,Григорій Онопрієнко /14160030/  ,Київ,UKR,16.05.2021  12:33 ,0,34,9,9,560419,Schweizer System                                            ,5
347,Чемпіонат Херсонської області з шахів серед юнаків до 8 років,20210514,20210516,"Федерація шахів Херсонської області, управління фіз.культури, молоді та спорту",,Хорошавіна О.В.,,"Новіков Є.А., Козак Л.М., Богданова Л.П.","Херсон, ДЮСШ з шахів і шашок",UKR,16.05.2021  12:09 ,0,21,9,9,560632,Schweizer System                                            ,5
348,Весна- в  ПНЗ Змина,20210515,20210516,ПНЗ-Змина,,Коваленко Максим,,,Киев,UKR,16.05.2021  10:55 ,0,15,8,8,560787,Schweizer System                                            ,5
349,Championship Yuzhny Senior Category 50 2021,20210515,20210515,,,"14109255 Shpilevoy, Eugen  NA",,,,UKR,15.05.2021  23:07 ,0,16,9,9,560808,Schweizer System                                            ,5
350,Шахова Весна КМДШ. Турнір А,20210515,20210515,"КМДШ, Бібо Ірина Олександрівна","Ромашов Антон Володимирович, Бібо Ірина Олександрівна","Ромашов Антон Володимирович,",Бібо Ірина Олександрівна,,"м . Львів, вул. Угорська, 12Е.",UKR,15.05.2021  21:48 ,0,76,9,9,560355,Schweizer System                                            ,5
351,"Чемпіонат ГО ""ФШмІ-Ф"" Швидкі Шахи - День міста, День МАТЕРІта Міжнародний День Родини",20210515,20210515,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,15.05.2021  17:36 ,0,11,10,10,560781,Schweizer System                                            ,5
352,"Чемпіонат ГО ""ФШмІ-Ф"" Бліц Шахи - День міста, День МАТЕРІта Міжнародний День Родини",20210501,20210501,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,15.05.2021  16:14 ,0,10,12,12,560782,Schweizer System                                            ,5
353,Open Championship of Vinnytsia chess school-2,20210515,20210515,"Bodnar, Nikolay (UKR)   ","Bodnar, Nikolay (UKR)   ","Bodnar, Bogdan (UKR)   ",,,Vinnytsia,UKR,15.05.2021  14:16 ,0,42,9,9,560767,Schweizer System                                            ,5
354,Чемпіонат Запорізької області серед юнаків U-10,20210511,20210515,,Каграманянц В.С.,Дружинець О.В.,Єфремова Ю.М.,Гуцал Т.Г.,Мелітополь,UKR,15.05.2021  11:21 ,0,28,9,9,560307,Schweizer System                                            ,5
355,Чемпіонат Запорізької області серед юнаків U-8,20210511,20210515,,Каграманянц В.С.,Дружинець О.В.,Єфремова Ю.М.,Гуцал Т.Г.,Мелітополь,UKR,15.05.2021  10:18 ,0,14,9,9,560308,Schweizer System                                            ,5
356,Tokmak Blitz Championship-2021-B,20210510,20210510,,,"Druzshinets, Oleksiy (UKR)",,,"Tokmak, Zaporozhye region",UKR,10.05.2021  19:48 ,0,12,7,7,560273,Schweizer System                                            ,5
357,Чемпіонат Кременчука 2021. Перша Ліга,20210508,20210510,Федерація шахів м.Кременчука,"Хоменко В,П,","Зазуляк А,А,","Щегельський Г,Є,",,Кременчук,UKR,10.05.2021  14:56 ,0,26,9,9,560005,Schweizer System                                            ,5
358,Меморіал Миколи Шелеста. Турнір А,20210504,20210510,"віце-президент ФШМО, мс Горощенко Д.В.","віце-президент ФШМО, мс Горощенко Д.В.","IA Larkin, Sergii 14175630","IA Khamzin, Ruslan 14118505","Goroshchenko, Dmitry (UKR) 14115336 , Palahitska, Nataliia (UKR) 14182610",Mykolaiv,UKR,10.05.2021  14:01 ,0,38,9,9,560210,Schweizer System                                            ,5
359,Memory Of Mykola Shelest. Tournament A,20210504,20210510,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Larkin, Sergii 14175630","IA Khamzin, Ruslan 14118505","Goroshchenko, Dmitry (UKR) 14115336 , Palahitska, Nataliia (UKR) 14182610",Mykolaiv,UKR,10.05.2021  13:34 ,0,38,9,9,552649,Schweizer System                                            ,5
360,Чемпіонат Закарпатської області з класичних шахів ,20210507,20210509,"ФШЗО, Управління молоді та спорту ОДА, ""Спорт для всіх""",Мошак Юрій,"IA, IO Keik, Mykola (UKR) 14135744",,,Мукачево,UKR,10.05.2021  12:33 ,0,32,9,9,559308,Schweizer System                                            ,5
361,Меморіал Миколи Шелеста. Турнір В,20210504,20210510,"віце-президент ФШМО, мс Горощенко Д.В. ",мс Горощенко Д.В. ,"IA Larkin, Sergii 14175630","IA Khamzin, Ruslan 14118505","Goroshchenko, Dmitry 14115336",Миколаїв,UKR,10.05.2021  12:17 ,0,37,9,9,552650,Schweizer System                                            ,5
362,"""Відкритий Кубок Києва-2021"" дитяча ПЕРША ліга",20210509,20210509,Шахова Школа,Семенов Д.,Семенов Д.,,Ритенко В.,"Київ, пр-т Оболонський 21, ""Шахова Школа""DreamTown2",UKR,10.05.2021  11:09 ,0,54,7,7,559892,Schweizer System                                            ,5
363,"""Відкритий Кубок Києва-2021"" дитяча ВИЩА ліга",20210509,20210509,Chess School,"14104482 Semenov, Dmitri (UKR) IM","14104482 Semenov, Dmitri (UKR) IM",,"14105128, Prihodko, Alexander (UKR) FA,IO  ","Kyiv, Obolon avenue 21,""Chess School""DreamTown2",UKR,09.05.2021  18:56 ,0,49,7,7,559891,Schweizer System                                            ,5
364,ВЧМ-2021 Швидкі Шахи до Дня міста та Дня МАТЕРІ,20210509,20210509,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,09.05.2021  18:03 ,0,14,10,10,560127,Schweizer System                                            ,5
365,In Memory Of Mykola Shelest. Tournament C (blitz),20210509,20210509,"Goroshchenko, Dmitry (UKR) 14115336","Goroshchenko, Dmitry (UKR) 14115336","IA Larkin, Sergii 14175630","IA Khamzin, Ruslan 14118505","Goroshchenko, Dmitry 14115336",Mykolaiv,UKR,09.05.2021  17:38 ,0,66,9,9,552651,Schweizer System                                            ,5
366,ВЧМ-2021 Бліц Шахи до Дня міста і Дня МАТЕРІ,20210509,20210509,"ГО ""Федерація шахів м. Івано-Франківська""","14106329 Kobylianskyi, Ihor (UKR) NA",,,,"м. Івано-Франківськ, Обласний шахово-шашковий клуб",UKR,09.05.2021  16:48 ,0,14,10,10,560126,Schweizer System                                            ,5
367,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 8 років - БЛІЦ,20210509,20210509,Управління спорту Івано-Франківської ОДА,,В.І.Палагіцький,,,,UKR,09.05.2021  16:45 ,0,22,9,9,560132,Schweizer System                                            ,5
368,Кваліфікаційний турнір з нормою 4 розряду (08-09.05 м.Буча),20210508,20210509,"Центр творчого навчання ""Kiwi"", 0631255032 (Viber)",,,,Козловець П. П.,Буча,UKR,09.05.2021  15:04 ,0,15,9,9,559977,Schweizer System                                            ,5
369,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 8 років - ШВИДКІ,20210509,20210509,Управління спорту Івано-Франківської ОДА,,В.І.Палагіцький,,,,UKR,09.05.2021  13:26 ,0,33,9,9,559968,Schweizer System                                            ,5
370,"""Шахова Школа"" Dream TownКваліфікаційний турнір 4 розряду та безрозрядників 08-09.05.2021",20210220,20210221,Шахова Школа,Семенов Д.Г.,Семенов Д.Г.,,"Хріновський О., Мамедов Р., Ритенко В.",Київ,UKR,09.05.2021  12:04 ,0,37,9,9,559888,Schweizer System                                            ,2
371,Меморіал ЧАЕС-В,20210507,20210508,,,Дружинець О.В.,Нікіфоренко О.В.,,"Токмак, Запорізька обл.",UKR,08.05.2021  19:13 ,0,9,7,7,559887,Schweizer System                                            ,5
372,Меморіал ЧАЕС-Б,20210507,20210508,,,Дружинець О.В.,Нікіфоренко О.В.,,"Токмак, Запорізька обл.",UKR,08.05.2021  19:13 ,0,12,7,7,559886,Schweizer System                                            ,5
373,Меморіал ЧАЕС-А,20210507,20210508,,,Дружинець О.В.,Нікіфоренко О.В.,,"Токмак, Запорізька обл.",UKR,08.05.2021  19:13 ,0,20,7,7,559885,Schweizer System                                            ,5
374,Championship of Vinnytsia chess school 2021,20210508,20210508,"Bodnar, Nikolay (UKR)  ","Bodnar, Nikolay (UKR)  ","Bodnar, Bogdan (UKR)   ",,,Vinnytsia ,UKR,08.05.2021  14:35 ,0,54,9,9,559992,Schweizer System                                            ,5
375,Турнір з швидких шахів серед ветеранів спорту 45 років і старшез нагоди Дня пам'яті та примирення,20210508,20210508,,,Черняк Олена Євгеніївни,,,Ковель,UKR,08.05.2021  14:15 ,0,10,5,5,560002,Schweizer System                                            ,5
376,Чемпіонат Івано-Франківської області серед юнаків та дівчат до 8 років,20210507,20210509,Управління спорту Івано-Франківської ОДА,,В.І.Палагіцький,,,,UKR,08.05.2021  13:20 ,0,20,8,8,559447,Schweizer System                                            ,5
377,Tokmak Blitz Championship-2021-semifinal,20210507,20210507,,,"Druzshinets, Oleksiy (UKR)",,,"Tokmak, Zaporozhye region",UKR,07.05.2021  19:20 ,0,10,9,9,559876,Schweizer System                                            ,5
378,Весняна Золотоноша - 2021,20210503,20210505,,,Малий І.В.,,,м. Золотоноша,UKR,04.05.2021  19:43 ,0,18,7,7,559520,Schweizer System                                            ,5
379,Кубок ПІШАК-2021 День МАТЕРІ Бліц Шахи,20210501,20210501,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,03.05.2021  17:01 ,0,8,10,10,559484,Schweizer System                                            ,5
380,Кубок ПІШАК-2021 День МАТЕРІ Швидкі Шахи,20210503,20210503,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,03.05.2021  17:01 ,0,11,8,8,559483,Schweizer System                                            ,5
381,ВК І-Ф 2021 - Бліц Шахи - Меморіял Героя України Романа Шухевича,20210418,20210418,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,02.05.2021  17:41 ,0,7,10,10,559437,Schweizer System                                            ,4
382,Ukrainian Chess Championship (blitz) among young girls under 12 yearsПопередня реєстрація,20210430,20210430,,,"Khamzin, Ruslan (UKR) IA  ","Malimonenko, Yury (UKR)   ","Scherbov, Grigory (UKR) FA",Omelnik of Poltava region,UKR,30.04.2021  11:34 ,0,26,9,9,555175,Schweizer System                                            ,4
383, Ukrainian Chess Championship (blitz) among young men under 12 years,20210430,20210430,,,"Khamzin, Ruslan (UKR) IA ","Malimonenko, Yury (UKR)"," Scherbov, Grigory (UKR) FA", Omelnik of Poltava region,UKR,30.04.2021  11:31 ,0,63,9,9,555174,Schweizer System                                            ,4
384,Ukrainian Chess Championship (rapid) among young girls under 12 years,20210429,20210429,,,"Khamzin, Ruslan (UKR) IA  ","Malimonenko, Yury (UKR)   ","Scherbov, Grigory (UKR) FA",Omelnik of Poltava region,UKR,29.04.2021  16:51 ,0,29,9,9,555173,Schweizer System                                            ,4
385,Ukrainian Chess Championship (rapid) among young men under 12 years,20210429,20210429,,,"Khamzin, Ruslan (UKR) IA ","Malimonenko, Yury (UKR)   "," Scherbov, Grigory (UKR) FA",Omelnik of Poltava region,UKR,29.04.2021  16:44 ,0,68,9,9,555172,Schweizer System                                            ,4
386,Ukraine Chess Championship - 2021 (Boys - 20) Blitz					,20210429,20210429,Ukrainian Chess Federation,"GM Gutman, Gennady /UKR/","14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388","FA Makarevich, Vladimir (UKR) 14116898; Kazmiruk, Vadim (UKR) 14141620",Dnipro,UKR,29.04.2021  11:45 ,0,64,9,9,557277,Schweizer System                                            ,4
387,Ukraine Chess Championship - 2021 (Girls - 20) Blitz					,20210429,20210429,Ukrainian Chess federation,"GM Gutman, Gennady /UKR/","14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388; FA Makarevich, Vladimir","Kazmiruk, Vadim (UKR) 14141620",Dnipro,UKR,29.04.2021  11:44 ,0,21,9,9,555913,Schweizer System                                            ,4
388,Ukraine Chess Championship - 2021 (Boys - 20) Rapid					,20210428,20210428,Ukrainian Chess Federation,"GM Gutman, Gennady /UKR/","14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388;","FA Makarevich, Vladimir (UKR) 14116898; Kazmiruk, Vadim (UKR) 14141620",Dnipro,UKR,28.04.2021  16:37 ,0,69,9,9,557182,Schweizer System                                            ,4
389,Ukraine Chess Championship - 2021 (Girls - 20) Rapid					,20210428,20210428,Ukrainian Chess Federation,"GM Gutman, Gennady /UKR/","14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388; FA Makarevich, Vladimir"," Kazmiruk, Vadim (UKR) 14141620",Dnipro,UKR,28.04.2021  16:30 ,0,23,9,9,555832,Schweizer System                                            ,4
390,Чемпіонат України з шахів серед юнаків до 12 років,20210420,20210428,,Щербов Г.А.,Хамзін Р.А.,Малімоненко Ю.Б,Щербов Г.А.,с.Омельник Полтавська обл.,UKR,28.04.2021  14:03 ,0,59,9,9,555169,Schweizer System                                            ,4
391,TheChampionship of Ukraine in classical chess among boys under 12 years,20210420,20210428,,,"Khamzin, Ruslan (UKR) IA  ",Petrenko Yuriy (UKR),"Scherbov, Grigory (UKR) FA  ",Omelnik of Poltava region,UKR,28.04.2021  13:59 ,0,59,9,9,555168,Schweizer System                                            ,4
392,TheChampionship of Ukraine in classical chess among girls under 12 years,20210420,20210428,,,"Khamzin, Ruslan (UKR) IA","Malimonenko, Yury (UKR) ","Scherbov, Grigory (UKR) FA ",Omelnik of Poltava region,UKR,28.04.2021  13:47 ,0,26,9,9,555170,Schweizer System                                            ,4
393,Чемпіонат України з класичних шахів серед юнаків до 20 років,20210419,20210427,"ФШУ, Мінмолодьспорту",МГ Гутман Г.М. /Дніпро/,МА Товчига О.Г. /Київ/,ФА Тимошенко І.В. /Дніпро/,"ФА Макаревич В.І. /Дніпро/, 1 Казмирук В.В. /Кривий Ріг/",Дніпро,UKR,27.04.2021  15:14 ,0,60,9,9,557302,Schweizer System                                            ,4
394,Чемпіонат України з класичних шахів серед дівчат до 20 років,20210419,20210427,"ФШУ, Мінмолодьспорту",Гутман Г.М.,МА Товчига О.Г. /Київ/,ФА Тимошенко І.В. /Дніпро/ ,"ФА Макаревич В.І. /Дніпро/,Казмирук В.В. /Кривий Ріг/",Дніпро,UKR,27.04.2021  15:14 ,0,19,9,9,557287,Schweizer System                                            ,4
395,Ukraine Chess Championship - 2021 (Girls - 20)					,20210419,20210427,Ukrainian Chess Federation,,"14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388; "," FA Makarevich, Vladimir (UKR) 14116898; Kazmiruk, Vadim (UKR) 14141620																									",Dnipro,UKR,27.04.2021  15:12 ,0,19,9,9,552948,Schweizer System                                            ,4
396,Ukraine Chess Championship - 2021 (Boys - 20)					,20210419,20210427,Ukrainian Chess Federation,,"14128748 Tovchyga, Oleg (UKR) IA  ","FA Timoshenko, Irina (UKR) 14129388; "," FA Makarevich, Vladimir (UKR) 14116898; Kazmiruk, Vadim (UKR) 14141620																									",Dnipro,UKR,27.04.2021  15:10 ,0,60,9,9,552955,Schweizer System                                            ,4
397,ВК І-Ф 2021 - Швидкі Шахи - Меморіял Героя України Романа Шухевича,20210418,20210418,,"14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,25.04.2021  20:07 ,0,7,10,10,558583,Schweizer System                                            ,4
398,Чемпіонат ФШВ серед 1 юн розрядів (Вінниця),20210425,20210425,,,,,,Вінниця,UKR,25.04.2021  17:39 ,0,27,8,8,558548,Schweizer System                                            ,4
399,Кубок ОШШК Бліц Шахи - Великдень-2021,20210425,20210425,"ГО «Федерація шахів м. Івано-Франківська», Обласний шахово-шашковий клуб","14106329 Kobylianskyi, Ihor (UKR) NA",,,,,UKR,25.04.2021  17:27 ,0,9,12,12,558540,Schweizer System                                            ,4
400,Відкритий чемпіонат Вінницької ДЮСШ №6,20210423,20210425,Вінницька ДЮСШ №6,Боднар Микола,Боднар Богдан,,Дорофєєв Станіслав,,UKR,25.04.2021  15:17 ,0,20,9,9,557934,Schweizer System                                            ,4
401,"Мемориал Сергея Прокофьева, турнир А",20210423,20210425,,,,,,Краматорск,UKR,25.04.2021  12:02 ,0,23,9,9,558089,Schweizer System                                            ,4
402,Абрикос Квалиф-турнир на 4 разряд,20210424,20210425,Частная Школа Абрикос,Коваленко Сергей,Коваленко Максим,,Коваленко Сергей,"Днепр, ул.Крутогорская 16",UKR,25.04.2021  11:29 ,0,14,8,8,558255,Schweizer System                                            ,4
403,"Мемориал Сергея Прокофьева, турнир В",20210423,20210425,,,,,,Краматорск,UKR,25.04.2021  11:12 ,0,17,9,9,558088,Schweizer System                                            ,4
404,III Етап Кубка І-Ф ДЮСШ № 3 - Великдень Турнір A,20210424,20210424,,"14106329 Kobylianskyi, Ihor (UKR) NA","14106329 Kobylianskyi, Ihor (UKR) NA",,,"м. Івано-Франківськ, Шаховий клуб ""Дебют"" Івано-Франківської ДЮСШ № 3",UKR,24.04.2021  19:22 ,0,15,9,9,558208,Schweizer System                                            ,4
405,Чемпіонат Вінниці серед безрозрядників,20210424,20210424,,,,,,Вінниця,UKR,24.04.2021  17:19 ,0,32,7,7,558333,Schweizer System                                            ,4
406,Чемпіонат України з шахів серед дівчат до 14 років,20210320,20210328,,,Хамзін Р.А.,Хорошавіна О.В.,Бабич Л.О. Новіков Є.А.,Херсон,UKR,21.04.2021  05:14 ,0,35,9,9,550726,Schweizer System                                            ,3
407,Vinnytsia-2021 (Blitz),20210419,20210419,"Bilych, Ivan",,"IA Larkin, Sergii 14175630","Bodnar, Bogdan 14133679",,Vinnytsia,UKR,19.04.2021  18:48 ,0,38,9,9,557603,Schweizer System                                            ,4
408,Чемпіонат міста Жмеринка серед дітей-2021,20210418,20210418,"Відділ молоді і спорту, ФШЖ",Ходюк А.,Личкін В.,,Макогонюк В.,Жмеринка,UKR,18.04.2021  19:28 ,0,26,8,8,557426,Schweizer System                                            ,4
409,Чемпіонат ФШВ серед 2 розрядів (Вінниця),20210417,20210418,,,,,,Вінниця,UKR,18.04.2021  18:02 ,0,28,8,8,557291,Schweizer System                                            ,4
410,Чемпіонат ФШВ серед 3 розрядів (Вінниця),20210417,20210418,,,,,,Вінниця,UKR,18.04.2021  17:01 ,0,17,8,8,557263,Schweizer System                                            ,4
411,Чемпіонат ФШВ серед 1-х розрядів та КМС,20210417,20210417,,,Роєнко Артур,,,Вінниця,UKR,18.04.2021  17:01 ,0,21,9,9,557239,Schweizer System                                            ,4
412,Чемпіонат ФШВ серед 1-юн. розрядів (Вінниця),20210417,20210418,,,,,,Вінниця,UKR,18.04.2021  17:01 ,0,28,8,8,557280,Schweizer System                                            ,4
413,Чемпіонат ФШЖ серед безрозрядників,20210418,20210418,ФШЖ,Ходюк А.,Личкін В.,,Макогонюк В.,Жмеринка,UKR,18.04.2021  14:30 ,0,20,7,7,557425,Schweizer System                                            ,4
